product_category,product_colour,product_currency,product_description,product_link,product_name,product_price,product_region,product_size,product_time
Filles 6-36 mois,noir,€,"Confectionné en coton stretch, ce t-shirt à col ras-du-cou offre un look décontracté pour des après-midi entre copains. Ce modèle est agrémenté d'un motif Medusa lamé couleur or et de la signature manuscrite de Gianni Versace.",https://www.versace.com/fr/fr-fr/enfants-filles/t-shirt-medusa-gv-signature-a1008/YB000136-YA00019_A1008.html?cgid=310000,T-shirt Medusa GV Signature,105 €,France,"3-6M,6-9M,9-12M,12M18,18M24,24M,36M",2020-03-30 20:01:56.200357
Filles 6-36 mois,rose,€,"Robe sweat à col rond et manches longues, ornée du motif Medusa sur le milieu et de clous sur les épaules.",https://www.versace.com/fr/fr-fr/enfants-filles/robe-medusa-ya092/YA000084-YA00077_YA092.html?cgid=310000,Robe Medusa,150 €,France,"3-6M,6-9M,9-12M,12M18,18M24,24M,36M",2020-03-30 20:01:56.257123
Filles 6-36 mois,rose,€,Pantalon de survêtement en coton orné d'un détail Nastro Versace de couleur contrastante sur le côté.,https://www.versace.com/fr/fr-fr/enfants-filles/pantalon-de-survetement-nastro-versace-ya092/YA000076-YA00077_YA092.html?cgid=310000,Pantalon de survêtement Nastro Versace,135 €,France,"3-6M,6-9M,9-12M,12M18,18M24,24M,36M",2020-03-30 20:01:56.301696
Filles 6-36 mois,rose,€,Cette jupe plissée en coton stretch offre un look coloré pour les occasions spéciales. Elle est rehaussée de l'emblématique motif Le Pop Classique.,https://www.versace.com/fr/fr-fr/enfants-filles/jupe-a-imprime-le-pop-classique-a7252/YA000130-A232778_A7252.html?cgid=310000,Jupe à imprimé Le Pop Classique,155 €,France,"3-6M,6-9M,9-12M,12M18,18M24,24M,36M",2020-03-30 20:01:56.336216
Filles 6-36 mois,blanc,€,"T-shirt en coton doux à col ras-du-cou, manches courtes et fermeture à bouton-pression. Ce t-shirt en jersey de coton stretch arbore le logo 90s Vintage.",https://www.versace.com/fr/fr-fr/enfants-filles/t-shirt-a-logo-90s-vintage-ya70a/YA000078-YA00019_YA70A.html?cgid=310000,T-shirt à logo 90s Vintage,100 €,France,"3-6M,6-9M,9-12M,12M18,18M24,24M,36M",2020-03-30 20:01:56.423459
Filles 6-36 mois,imprimer,€,Cette robe plissée sans manches offre un look amusant pour les occasions spéciales. Le bas de la robe présente un imprimé Rose Jewel qui mélange de jolies fleurs roses aux emblématiques bijoux de la Maison. Le haut est lui agrémenté d'un détail Medusa et de boutons sur l'épaule.,https://www.versace.com/fr/fr-fr/enfants-filles/robe-sans-manches-a-imprime-rose-jewel-a7361/YA000113-A232759_A7361.html?cgid=310000,Robe sans manches à imprimé Rose Jewel,195 €,France,"3-6M,6-9M,9-12M,12M18,18M24,24M,36M",2020-03-30 20:01:57.150831
Garçons 4-14 Ans,imprimer,€,"Ornée de l'imprimé Tie-Dye, cette casquette est un accessoire amusant pour un look décontracté. Le modèle arbore le logo Versace.",https://www.versace.com/fr/fr-fr/enfants-garcon/casquette-a-logo-a-imprime-tie-dye-a7846/YD000221-A233915_A7846.html?cgid=330000,Casquette à logo à imprimé Tie-Dye,195 €,France,"S-50,M-52,L-54,XL-56",2020-03-30 20:02:00.166433
Garçons 4-14 Ans,blanc,€,T-shirt en coton duveteux à col ras-du-cou et manches courtes. Le t-shirt est rehaussé d'un motif Medusa.,https://www.versace.com/fr/fr-fr/enfants-garcon/t-shirt-medusa-ya76a/YD000106-YA00079_YA76A.html?cgid=330000,T-shirt Medusa,110 €,France,"4A,6A,8A,10A,12A,14A",2020-03-30 20:02:00.238663
Garçons 4-14 Ans,imprimer,€,"Orné de l'imprimé Tie-Dye, ce sac à dos est rehaussé d'un motif 90s Versace Vintage Logo lamé couleur or. Ce modèle est doté d'une poche avant à fermeture zippée.",https://www.versace.com/fr/fr-fr/enfants-garcon/sac-a-dos-90s-vintage-logo-imprime-tie-dye-yy34/YIX00002-YB00278_Y001_UNI_YY34__.html?cgid=330000,Sac à dos 90s Vintage Logo imprimé Tie-Dye,495 €,France,no available,2020-03-30 20:02:00.418600
Garçons 4-14 Ans,imprimer,€,"Orné d'un motif 90s Versace Vintage Logo lamé doré, ce sac à dos arbore l'imprimé Barocco Signature : un motif all-over représentant la signature de Gianni Versace mêlée à des détails Medusa, feuille Baroque et V dorés. Ce modèle est doté d'une poche avant à fermeture zippée.",https://www.versace.com/fr/fr-fr/enfants-garcon/sac-a-dos-a-imprime-barocco-signature-ysk5/YIX00004-YB00281_Y001_UNI_YSK5__.html?cgid=330000,Sac à dos à imprimé Barocco Signature,590 €,France,no available,2020-03-30 20:02:00.945586
Garçons 4-14 Ans,imprimer,€,"Sweat à capuche, fermeture zippée centrée et bords-côtes. Orné de l'imprimé Savage Barocco.",https://www.versace.com/fr/fr-fr/enfants-garcon/hoodie-a-imprime-savage-barocco-ya743/YD000096-YA00277_YA743.html?cgid=330000,Hoodie à imprimé Savage Barocco,270 €,France,"4A,5A,6A,8A,10A,12A,14A",2020-03-30 20:02:00.982035
Garçons 4-14 Ans,imprimer,€,"Orné de l'imprimé Tie-Dye, ce sac à dos est rehaussé d'un motif 90s Versace Vintage Logo lamé couleur or. Ce modèle est doté d'une poche avant à fermeture zippée.",https://www.versace.com/fr/fr-fr/enfants-garcon/sac-a-dos-90s-vintage-logo-imprime-tie-dye-yy33/YIX00002-YB00278_Y001_UNI_YY33__.html?cgid=330000,Sac à dos 90s Vintage Logo imprimé Tie-Dye,495 €,France,no available,2020-03-30 20:02:01.015994
Garçons 4-14 Ans,imprimer,€,Pantalon de survêtement à imprimé Savage Barocco et bords-côtes de couleur contrastante.,https://www.versace.com/fr/fr-fr/enfants-garcon/pantalon-survetement-imprime-savage-barocco-ya743/YD000099-YA00277_YA743.html?cgid=330000,Pantalon survêtement imprimé Savage Barocco,180 €,France,"4A,5A,6A,8A,10A,12A,14A",2020-03-30 20:02:02.155750
Accessoires,noir,€,Une montre contemporaine. La montre Chain Reaction argentée est dotée d'un boîtier bicolore avec un protège-couronne. La montre se caractérise par l'emblématique Greca sur la lunette. Le cadran noir mat est orné du logo Versace et d'une tête de Medusa à 12h. Le bracelet en métal noir est décoré de pyramides sur le maillon intermédiaire.,https://www.versace.com/fr/fr-fr/hommes/accessoires/montre-chain-reaction-noire-pnul/PVEDY007-P0019_RTU_TU_PNUL__.html?cgid=241000,Montre Chain Reaction noire,1.250 €,France,no available,2020-03-30 20:02:04.223692
Accessoires,noir,€,Une montre moderne et décontractée à la fois. La montre Chain Reaction argentée se caractérise par un bracelet à maillons en silicone inspiré des bijoux (et des baskets) emblématiques de Versace. La montre possède un boîtier bicolore et un cadran soleillé argenté orné du logo Versace et d'une tête de Medusa à 12h.,https://www.versace.com/fr/fr-fr/hommes/accessoires/montre-chain-reaction-argentee-pnul/PVEDY002-P0019_RTU_TU_PNUL__.html?cgid=241000,Montre Chain Reaction argentée,1.050 €,France,no available,2020-03-30 20:02:04.260466
Accessoires,or,€,"À la fois minimaliste et résolument chic, la V-Urban est la nouvelle montre Versace pour les hommes cosmopolites. Son design soigné se caractérise par un boîtier rond doré et un cadran soleillé blanc. Avec pour seule fioriture une Medusa à 12 h, cette montre est une pièce de luxe discrète aux détails élégants comme un bracelet en métal doré.",https://www.versace.com/fr/fr-fr/hommes/accessoires/montre-v-urban-doree-pnul/PVELQ007-P0019_RTU_TU_PNUL__.html?cgid=241000,Montre V-Urban dorée,1.050 €,France,no available,2020-03-30 20:02:04.294411
